MSA,Total Score
"Ann Arbor, MI",94.23
"San Jose-Sunnyvale-Santa Clara, CA",81.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV",81.7
"Durham-Chapel Hill, NC",79.72
San Francisco,79.48
"Madison, WI",78.48
Boston,76.29
Seattle,73.76
Austin,72.94
Bridgeport,71.91
"Colorado Springs, CO",71.22
"Raleigh, NC",70.96
"Provo-Orem, UT",70.77
"Denver-Aurora-Lakewood, CO",69.45
"Trenton, NJ",69.2
"Portland-South Portland, ME",69.02
"Tallahassee, FL",68.97
"Portland-Vancouver-Hillsboro, OR-WA",67.96
"Minneapolis-St. Paul-Bloomington, MN-WI",67.41
"San Diego-Carlsbad, CA",67.15
"Albany-Schenectady-Troy, NY",65.14
"Baltimore-Columbia-Towson, MD",65.06
"Lansing-East Lansing, MI",64.74
"Hartford-West Hartford-East Hartford, CT",64.2
"Lexington-Fayette, KY",64.07
"New York-Newark-Jersey City, NY-NJ-PA",63.19
"Huntsville, AL",63.08
"Atlanta-Sandy Springs-Roswell, GA",62.16
"Urban Honolulu, HI",61.31
"Chicago-Naperville-Elgin, IL-IN-WI",60.99
"Santa Rosa, CA",59.99
"Omaha-Council Bluffs, NE-IA",59.91
"Kansas City, MO-KS",59.77
"Eugene, OR",59.58
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",59.48
"Virginia Beach-Norfolk-Newport News, VA-NC",59.43
"Asheville, NC",59.37
"Richmond, VA",59.16
"Pittsburgh, PA",59
"Salt Lake City, UT",58.99
"Rochester, NY",58.56
"St. Louis, MO-IL",58.42
"Spokane-Spokane Valley, WA",58.2
"Columbus, OH",58.1
"New Haven-Milford, CT",58
"Manchester-Nashua, NH",57.98
"Des Moines-West Des Moines, IA",57.96
"Anchorage, AK",57.79
"Albuquerque, NM",57.75
"Sacramento--Roseville--Arden-Arcade, CA",57.68
"Naples-Immokalee-Marco Island, FL",57.21
"Charleston-North Charleston, SC",56.82
"Cincinnati, OH-KY-IN",56.61
"Charlotte-Concord-Gastonia, NC-SC",56.49
"Boise City, ID",56.45
"Milwaukee-Waukesha-West Allis, WI",56.12
"Nashville-Davidson--Murfreesboro--Franklin, TN",56.12
"Buffalo-Cheektowaga-Niagara Falls, NY",55.74
"Worcester, MA-CT",55.71
"Reno, NV",55.26
"Orlando-Kissimmee-Sanford, FL",54.78
"Santa Maria-Santa Barbara, CA",54.71
"Tucson, AZ",54.26
"Grand Rapids-Wyoming, MI",54.24
"Syracuse, NY",53.98
"Columbia, SC",53.55
"North Port-Sarasota-Bradenton, FL",53.45
"Dayton, OH",53.44
"Springfield, MA",53.05
"Indianapolis-Carmel-Anderson, IN",52.99
"Akron, OH",52.94
"Dallas-Fort Worth-Arlington, TX",52.76
"Jacksonville, FL",52.45
"Oxnard-Thousand Oaks-Ventura, CA",52.44
"Little Rock-North Little Rock-Conway, AR",52.41
"Miami-Fort Lauderdale-West Palm Beach, FL",51.94
"Savannah, GA",51.93
"Palm Bay-Melbourne-Titusville, FL",51.85
"Ogden-Clearfield, UT",51.82
"Phoenix-Mesa-Scottsdale, AZ",51.5
"Oklahoma City, OK",51.43
"Detroit-Warren-Dearborn, MI",51.35
"Fayetteville-Springdale-Rogers, AR-MO",51.04
"Cleveland-Elyria, OH",50.77
"Harrisburg-Carlisle, PA",50.41
"Tampa-St. Petersburg-Clearwater, FL",50.36
"Peoria, IL",49.89
"Birmingham-Hoover, AL",49.83
"Houston-The Woodlands-Sugar Land, TX",49.82
"Wichita, KS",49.62
"Jackson, MS",49.4
"Los Angeles-Long Beach-Anaheim, CA",49.22
"Providence-Warwick, RI-MA",48.96
"Springfield, MO",48.93
"Louisville/Jefferson County, KY-IN",48.67
"Pensacola-Ferry Pass-Brent, FL",48.64
"Greensboro-High Point, NC",48.62
"Toledo, OH",48.23
"Knoxville, TN",48.05
"Greenville-Anderson-Mauldin, SC",47.66
"Fayetteville, NC",47.65
"New Orleans-Metairie, LA",47.1
"Montgomery, AL",46.62
"Allentown-Bethlehem-Easton, PA-NJ",46.59
"Fort Wayne, IN",46.49
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",46.04
"Cape Coral-Fort Myers, FL",45.83
"San Antonio-New Braunfels, TX",45.69
"Tulsa, OK",44.88
"Memphis, TN-MS-AR",44.75
"Killeen-Temple, TX",43.82
"Baton Rouge, LA",43.54
"Winston-Salem, NC",43.5
"Davenport-Moline-Rock Island, IA-IL",42.7
"Salem, OR",42.17
"Vallejo-Fairfield, CA",42.16
"Chattanooga, TN-GA",42.13
"Deltona-Daytona Beach-Ormond Beach, FL",41.99
"Salisbury, MD-DE",41.74
"Las Vegas-Henderson-Paradise, NV",41.03
"Canton-Massillon, OH",40.94
"Augusta-Richmond County, GA-SC",40.67
"Flint, MI",39.75
"Scranton--Wilkes-Barre--Hazleton, PA",39.2
"Gulfport-Biloxi-Pascagoula, MS",39.02
"York-Hanover, PA",38.95
"Port St. Lucie, FL",38.68
"Lancaster, PA",38.3
"Rockford, IL",37.84
"Mobile, AL",37.6
"Shreveport-Bossier City, LA",36.92
"Reading, PA",36.2
"Youngstown-Warren-Boardman, OH-PA",35.98
"Huntington-Ashland, WV-KY-OH",34.34
"El Paso, TX",33.57
"Lafayette, LA",33.43
"Riverside-San Bernardino-Ontario, CA",32.26
"Lakeland-Winter Haven, FL",31.62
"Corpus Christi, TX",31.09
"Beaumont-Port Arthur, TX",28.84
"Fresno, CA",28.79
"Salinas, CA",27.49
"Ocala, FL",27.18
"Stockton-Lodi, CA",25.42
"Hickory-Lenoir-Morganton, NC",25
"Modesto, CA",21.68
"Bakersfield, CA",16.42
"McAllen-Edinburg-Mission, TX",13.83
"Brownsville-Harlingen, TX",11.4
"Visalia-Porterville, CA",10.74
