Admin2,9/19/20
Big Horn,832
Blaine,16
Broadwater,17
Carbon,107
Carter,0
Cascade,522
Chouteau,18
Custer,101
Daniels,3
Dawson,67
Deer Lodge,113
Fallon,5
Fergus,54
Flathead,826
Gallatin,1200
Garfield,16
Glacier,176
Golden Valley,3
Granite,22
Hill,131
Jefferson,55
Judith Basin,6
Lake,251
Lewis and Clark,222
Liberty,16
Lincoln,105
Madison,97
McCone,19
Meagher,24
Mineral,2
Missoula,571
Musselshell,32
Out of MT,0
Park,86
Petroleum,0
Phillips,117
Pondera,21
Powder River,3
Powell,10
Prairie,1
Ravalli,126
Richland,73
Roosevelt,147
Rosebud,558
Sanders,44
Sheridan,9
Silver Bow,209
Stillwater,51
Sweet Grass,37
Teton,20
Toole,70
Treasure,3
Unassigned,0
Valley,58
Wheatland,9
Wibaux,9
Yellowstone,2797
Adams,506
Antelope,53
Arthur,1
Banner,2
Blaine,0
Boone,63
Box Butte,53
Boyd,17
Brown,17
Buffalo,953
Burt,75
Butler,106
Cass,304
Cedar,73
Chase,20
Cherry,42
Cheyenne,36
Clay,66
Colfax,758
Cuming,119
Custer,80
Dakota,2140
Dawes,114
Dawson,1067
Deuel,4
Dixon,83
Dodge,1076
Douglas,15107
Dundy,11
Fillmore,51
Franklin,22
Frontier,7
Furnas,33
Gage,201
Garden,9
Garfield,6
Gosper,32
Grant,1
Greeley,22
Hall,1958
Hamilton,119
Harlan,14
Hayes,0
Hitchcock,4
Holt,50
Hooker,7
Howard,88
Jefferson,29
Johnson,40
Kearney,137
Keith,60
Keya Paha,4
Kimball,15
Knox,132
Lancaster,5605
Lincoln,356
Logan,6
Loup,3
Madison,775
McPherson,6
Merrick,81
Morrill,75
Nance,24
Nemaha,114
Nuckolls,13
Otoe,135
Out of NE,0
Pawnee,15
Perkins,33
Phelps,102
Pierce,100
Platte,1010
Polk,49
Red Willow,25
Richardson,50
Rock,37
Saline,692
Sarpy,3356
Saunders,401
Scotts Bluff,405
Seward,203
Sheridan,47
Sherman,23
Sioux,7
Stanton,39
Thayer,29
Thomas,5
Thurston,244
Unassigned,194
Valley,30
Washington,242
Wayne,115
Webster,15
Wheeler,1
York,148
Carson City,523
Churchill,137
Clark,63877
Douglas,286
Elko,904
Esmeralda,0
Eureka,10
Humboldt,118
Lander,70
Lincoln,7
Lyon,407
Mineral,13
Nye,492
Out of NV,0
Pershing,21
Storey,9
Unassigned,0
Washoe,8493
White Pine,52
Belknap,143
Carroll,119
Cheshire,142
Coos,21
Grafton,132
Hillsborough,4289
Merrimack,557
Out of NH,0
Rockingham,1971
Strafford,493
Sullivan,50
Unassigned,3
Atlantic,3956
Bergen,22145
Burlington,6901
Camden,9667
Cape May,995
Cumberland,3728
Essex,20803
Gloucester,4281
Hudson,20468
Hunterdon,1282
Mercer,8563
Middlesex,19050
Monmouth,11438
Morris,7718
Ocean,12182
Out of NJ,0
Passaic,18799
Salem,1039
Somerset,5685
Sussex,1450
Unassigned,316
Union,17415
Warren,1428
Bernalillo,6198
Catron,9
Chaves,1014
Cibola,406
Colfax,27
Curry,740
De Baca,1
Dona Ana,3117
Eddy,686
Grant,109
Guadalupe,34
Harding,2
Hidalgo,99
Lea,1320
Lincoln,186
Los Alamos,31
Luna,401
McKinley,4292
Mora,7
Otero,247
Out of NM,0
Quay,71
Rio Arriba,383
Roosevelt,266
San Juan,3257
San Miguel,93
Sandoval,1313
Santa Fe,939
Sierra,42
Socorro,88
Taos,129
Torrance,65
Unassigned,1361
Union,31
Valencia,548
Albany,3006
Allegany,96
Bronx,52526
Broome,1459
Cattaraugus,253
Cayuga,196
Chautauqua,536
Chemung,322
Chenango,248
Clinton,154
Columbia,580
Cortland,155
Delaware,130
Dutchess,5053
Erie,10917
Essex,158
Franklin,64
Fulton,332
Genesee,314
Greene,319
Hamilton,15
Herkimer,319
Jefferson,161
Kings,66971
Lewis,50
Livingston,201
Madison,486
Monroe,5876
Montgomery,223
Nassau,46154
New York,33011
Niagara,1714
Oneida,2373
Onondaga,4201
Ontario,456
Orange,11790
Orleans,323
Oswego,424
Otsego,325
Out of NY,0
Putnam,1573
Queens,71577
Rensselaer,896
Richmond,15713
Rockland,14801
Saratoga,990
Schenectady,1377
Schoharie,83
Schuyler,37
Seneca,105
St. Lawrence,315
Steuben,344
Suffolk,46010
Sullivan,1570
Tioga,222
Tompkins,394
Ulster,2239
Unassigned,0
Warren,356
Washington,287
Wayne,309
Westchester,37755
Wyoming,132
Yates,62
Alamance,3695
Alexander,483
Alleghany,219
Anson,549
Ashe,247
Avery,321
Beaufort,818
Bertie,540
Bladen,818
Brunswick,1523
Buncombe,2844
Burke,2018
Cabarrus,3739
Caldwell,1557
Camden,107
Carteret,608
Caswell,315
Catawba,2958
Chatham,1589
Cherokee,567
Chowan,306
Clay,109
Cleveland,1994
Columbus,1305
Craven,1247
Cumberland,5018
Currituck,150
Dare,258
Davidson,2575
Davie,527
Duplin,2137
Durham,7486
Edgecombe,1254
Forsyth,6786
Franklin,1177
Gaston,4806
Gates,121
Graham,122
Granville,1680
Greene,498
Guilford,8064
Halifax,957
Harnett,2003
Haywood,577
Henderson,1894
Hertford,681
Hoke,1058
Hyde,124
Iredell,2653
Jackson,529
Johnston,4217
Jones,143
Lee,1569
Lenoir,937
Lincoln,1437
Macon,582
Madison,89
Martin,418
McDowell,880
Mecklenburg,27431
Mitchell,102
Montgomery,1020
Moore,1505
Nash,2091
New Hanover,3875
Northampton,401
Onslow,1825
Orange,2570
Out of NC,0
Pamlico,228
Pasquotank,658
Pender,888
Perquimans,171
Person,405
Pitt,4498
Polk,257
Randolph,2645
Richmond,896
Robeson,4218
Rockingham,1131
Rowan,3155
Rutherford,1091
Sampson,1751
Scotland,907
Stanly,1781
Stokes,404
Surry,1271
Swain,139
Transylvania,302
Tyrrell,112
Unassigned,0
Union,4553
Vance,1014
Wake,16812
Warren,313
Washington,200
Watauga,578
Wayne,3135
Wilkes,1152
Wilson,2053
Yadkin,707
Yancey,119
Adams,17
Barnes,212
Benson,317
Billings,13
Bottineau,42
Bowman,29
Burke,28
Burleigh,3002
Cass,4603
Cavalier,46
Dickey,45
Divide,6
Dunn,76
Eddy,61
Emmons,108
Foster,53
Golden Valley,41
Grand Forks,2046
Grant,11
Griggs,50
Hettinger,54
Kidder,41
LaMoure,44
Logan,26
McHenry,56
McIntosh,53
McKenzie,163
McLean,237
Mercer,107
Morton,1052
Mountrail,203
Nelson,38
Oliver,17
Out of ND,0
Pembina,50
Pierce,31
Ramsey,185
Ransom,71
Renville,34
Richland,205
Rolette,156
Sargent,49
Sheridan,9
Sioux,140
Slope,7
Stark,1297
Steele,27
Stutsman,475
Towner,12
Traill,96
Unassigned,0
Walsh,169
Ward,870
Wells,33
Williams,794
,68
Adams,120
Allen,1365
Ashland,222
Ashtabula,641
Athens,588
Auglaize,562
Belmont,705
Brown,273
Butler,5586
Carroll,149
Champaign,287
Clark,1707
Clermont,1611
Clinton,278
Columbiana,1918
Coshocton,230
Crawford,217
Cuyahoga,17041
Darke,759
Defiance,279
Delaware,2116
Erie,896
Fairfield,1999
Fayette,225
Franklin,25846
Fulton,232
Gallia,179
Geauga,701
Greene,1338
Guernsey,155
Hamilton,12698
Hancock,655
Hardin,249
Harrison,60
Henry,294
Highland,220
Hocking,159
Holmes,370
Huron,521
Jackson,228
Jefferson,318
Knox,278
Lake,1572
Lawrence,588
Licking,1853
Logan,291
Lorain,2253
Lucas,7091
Madison,776
Mahoning,2988
Marion,3057
Medina,1420
Meigs,170
Mercer,1044
Miami,1341
Monroe,106
Montgomery,7443
Morgan,46
Morrow,247
Muskingum,367
Noble,26
Ottawa,464
Out of OH,0
Paulding,101
Perry,284
Pickaway,2628
Pike,153
Portage,1064
Preble,418
Putnam,537
Richland,781
Ross,849
Sandusky,554
Scioto,459
Seneca,435
Shelby,561
Stark,2723
Summit,5073
Trumbull,1847
Tuscarawas,910
Unassigned,0
Union,483
Van Wert,110
Vinton,45
Warren,2893
Washington,246
Wayne,898
Williams,197
Wood,1679
Wyandot,201
Adair,574
Alfalfa,56
Atoka,269
Beaver,48
Beckham,263
Blaine,108
Bryan,820
Caddo,695
Canadian,1928
Carter,502
Cherokee,973
Choctaw,299
Cimarron,23
Cleveland,5512
Coal,71
Comanche,1479
Cotton,64
Craig,404
Creek,1051
Custer,475
Delaware,673
Dewey,58
Ellis,8
Garfield,1464
Garvin,332
Grady,855
Grant,38
Greer,104
Harmon,43
Harper,26
Haskell,253
Hughes,276
Jackson,698
Jefferson,42
Johnston,139
Kay,491
Kingfisher,318
Kiowa,65
Latimer,129
Le Flore,978
Lincoln,388
Logan,394
Love,164
Major,70
Marshall,170
Mayes,530
McClain,776
McCurtain,1212
McIntosh,291
Murray,113
Muskogee,1678
Noble,140
Nowata,131
Okfuskee,127
Oklahoma,16435
Okmulgee,769
Osage,771
Ottawa,770
Out of OK,0
Pawnee,239
Payne,2008
Pittsburg,865
Pontotoc,345
Pottawatomie,1177
Pushmataha,145
Roger Mills,26
Rogers,1663
Seminole,399
Sequoyah,776
Stephens,374
Texas,1403
Tillman,81
Tulsa,15905
Unassigned,70
Wagoner,1388
Washington,948
Washita,57
Woods,93
Woodward,309
Baker,90
Benton,251
Clackamas,2226
Clatsop,109
Columbia,148
Coos,136
Crook,60
Curry,26
Deschutes,746
Douglas,200
Gilliam,7
Grant,8
Harney,12
Hood River,241
Jackson,1021
Jefferson,505
Josephine,180
Klamath,269
Lake,29
Lane,933
Lincoln,470
Linn,454
Malheur,1490
Marion,4387
Morrow,484
Multnomah,6743
Out of OR,0
Polk,493
Sherman,18
Tillamook,48
Umatilla,2895
Unassigned,0
Union,435
Wallowa,28
Wasco,233
Washington,4241
Wheeler,0
Yamhill,726
Adams,782
Allegheny,11663
Armstrong,410
Beaver,1834
Bedford,224
Berks,6801
Blair,559
Bradford,120
Bucks,8499
Butler,983
Cambria,540
Cameron,8
Carbon,444
Centre,1727
Chester,6510
Clarion,115
Clearfield,297
Clinton,186
Columbia,859
Crawford,288
Cumberland,1752
Dauphin,3684
Delaware,11104
Elk,67
Erie,1466
Fayette,766
Forest,14
Franklin,1710
Fulton,44
Greene,168
Huntingdon,395
Indiana,611
Jefferson,107
Juniata,178
Lackawanna,2375
Lancaster,7514
Lawrence,499
Lebanon,1931
Lehigh,5469
Luzerne,4013
Lycoming,623
McKean,53
Mercer,688
Mifflin,209
Monroe,1772
Montgomery,11897
Montour,162
Northampton,4364
Northumberland,861
Out of PA,0
Perry,204
Philadelphia,35583
Pike,565
Potter,25
Schuylkill,1058
Snyder,255
Somerset,203
Sullivan,11
Susquehanna,293
Tioga,61
Unassigned,0
Union,451
Venango,80
Warren,42
Washington,1275
Wayne,214
Westmoreland,2046
Wyoming,72
York,4453
Adjuntas,142
Aguada,305
Aguadilla,406
Aguas Buenas,245
Aibonito,145
Anasco,217
Arecibo,691
Arroyo,159
Barceloneta,203
Barranquitas,406
Bayamon,3242
Cabo Rojo,309
Caguas,1394
Camuy,233
Canovanas,619
Carolina,2344
Catano,390
Cayey,320
Ceiba,107
Ciales,212
Cidra,285
Coamo,258
Comerio,222
Corozal,540
Culebra,22
Dorado,652
Fajardo,466
Florida,242
Guanica,92
Guayama,276
Guayanilla,159
Guaynabo,1516
Gurabo,470
Hatillo,236
Hormigueros,153
Humacao,435
Isabela,242
Jayuya,219
Juana Diaz,313
Juncos,330
Lajas,133
Lares,299
Las Marias,95
Las Piedras,418
Loiza,230
Luquillo,218
Manati,485
Maricao,78
Maunabo,107
Mayaguez,742
Moca,321
Morovis,480
Naguabo,182
Naranjito,551
Orocovis,308
Out of PR,777
Patillas,165
Penuelas,107
Ponce,776
Quebradillas,152
Rincon,157
Rio Grande,526
Sabana Grande,187
Salinas,387
San German,228
San Juan,6591
San Lorenzo,415
San Sebastian,333
Santa Isabel,160
Toa Alta,1149
Toa Baja,1127
Trujillo Alto,929
Unassigned,556
Utuado,127
Vega Alta,607
Vega Baja,844
Vieques,86
Villalba,127
Yabucoa,259
Yauco,357
Bristol,382
Kent,1796
Newport,502
Out of RI,0
Providence,17941
Unassigned,2246
Washington,753
Abbeville,530
Aiken,2619
Allendale,355
Anderson,4002
Bamberg,610
Barnwell,600
Beaufort,5403
Berkeley,5315
Calhoun,439
Charleston,15455
Cherokee,1065
Chester,1010
Chesterfield,1179
Clarendon,1067
Colleton,983
Darlington,1944
Dillon,950
Dorchester,4022
Edgefield,533
Fairfield,739
Florence,4779
Georgetown,1857
Greenville,13710
Greenwood,2138
Hampton,604
Horry,10084
Jasper,770
Kershaw,1853
Lancaster,2034
Laurens,1603
Lee,696
Lexington,6714
Marion,820
Marlboro,892
McCormick,195
Newberry,1170
Oconee,1329
Orangeburg,3031
Out of SC,0
Pickens,2720
Richland,14349
Saluda,670
Spartanburg,6352
Sumter,3118
Unassigned,0
Union,534
Williamsburg,1302
York,5096
Aurora,44
Beadle,696
Bennett,63
Bon Homme,75
Brookings,658
Brown,1017
Brule,92
Buffalo,117
Butte,74
Campbell,10
Charles Mix,139
Clark,32
Clay,531
Codington,682
Corson,81
Custer,169
Davison,200
Day,59
Deuel,75
Dewey,115
Douglas,57
Edmunds,80
Fall River,87
Faulk,58
Grant,87
Gregory,93
Haakon,17
Hamlin,79
Hand,25
Hanson,28
Harding,3
Hughes,295
Hutchinson,71
Hyde,15
Jackson,24
Jerauld,66
Jones,7
Kingsbury,41
Lake,169
Lawrence,321
Lincoln,1190
Lyman,110
Marshall,33
McCook,80
McPherson,27
Meade,444
Mellette,29
Miner,19
Minnehaha,6170
Moody,69
Oglala Lakota,219
Out of SD,0
Pennington,1960
Perkins,28
Potter,35
Roberts,148
Sanborn,18
Spink,102
Stanley,32
Sully,9
Todd,104
Tripp,88
Turner,135
Unassigned,0
Union,349
Walworth,89
Yankton,345
Ziebach,60
Anderson,1117
Bedford,1295
Benton,331
Bledsoe,844
Blount,2425
Bradley,2818
Campbell,415
Cannon,269
Carroll,816
Carter,1108
Cheatham,784
Chester,576
Claiborne,423
Clay,182
Cocke,730
Coffee,1069
Crockett,497
Cumberland,1143
Davidson,25840
DeKalb,541
Decatur,455
Dickson,1176
Dyer,1253
Fayette,1111
Fentress,422
Franklin,875
Gibson,1492
Giles,549
Grainger,346
Greene,1079
Grundy,230
Hamblen,1831
Hamilton,9033
Hancock,106
Hardeman,1513
Hardin,954
Hawkins,747
Haywood,900
Henderson,1101
Henry,594
Hickman,515
Houston,178
Humphreys,224
Jackson,302
Jefferson,1051
Johnson,635
Knox,8806
Lake,871
Lauderdale,928
Lawrence,939
Lewis,169
Lincoln,576
Loudon,1099
Macon,1007
Madison,2596
Marion,493
Marshall,698
Maury,2183
McMinn,1045
McNairy,783
Meigs,216
Monroe,994
Montgomery,2922
Moore,145
Morgan,302
Obion,1066
Out of TN,2811
Overton,673
Perry,140
Pickett,94
Polk,375
Putnam,3019
Rhea,766
Roane,828
Robertson,2151
Rutherford,8902
Scott,197
Sequatchie,219
Sevier,2500
Shelby,29800
Smith,669
Stewart,167
Sullivan,2038
Sumner,4629
Tipton,1711
Trousdale,1647
Unassigned,2803
Unicoi,274
Union,331
Van Buren,149
Warren,997
Washington,2123
Wayne,1478
Weakley,1104
White,763
Williamson,5030
Wilson,3318
Anderson,1741
Andrews,412
Angelina,2113
Aransas,316
Archer,69
Armstrong,12
Atascosa,627
Austin,484
Bailey,206
Bandera,112
Bastrop,1788
Baylor,14
Bee,1813
Bell,5306
Bexar,50760
Blanco,141
Borden,0
Bosque,294
Bowie,1244
Brazoria,10976
Brazos,6053
Brewster,214
Briscoe,12
Brooks,298
Brown,543
Burleson,326
Burnet,701
Caldwell,1488
Calhoun,626
Callahan,84
Cameron,22405
Camp,349
Carson,18
Cass,312
Castro,249
Chambers,1255
Cherokee,1522
Childress,66
Clay,76
Cochran,48
Coke,51
Coleman,67
Collin,12843
Collingsworth,18
Colorado,478
Comal,2600
Comanche,280
Concho,89
Cooke,395
Coryell,1792
Cottle,25
Crane,71
Crockett,164
Crosby,86
Culberson,51
Dallam,232
Dallas,77118
Dawson,353
DeWitt,975
Deaf Smith,855
Delta,24
Denton,11501
Dickens,48
Dimmit,195
Donley,59
Duval,419
Eastland,158
Ector,4601
Edwards,34
El Paso,22329
Ellis,4192
Erath,804
Falls,222
Fannin,656
Fayette,573
Fisher,64
Floyd,106
Foard,9
Fort Bend,15789
Franklin,130
Freestone,404
Frio,671
Gaines,313
Galveston,11402
Garza,103
Gillespie,213
Glasscock,7
Goliad,154
Gonzales,822
Gray,283
Grayson,1791
Gregg,2131
Grimes,1067
Guadalupe,1958
Hale,1797
Hall,24
Hamilton,115
Hansford,111
Hardeman,24
Hardin,1317
Harris,123264
Harrison,865
Hartley,117
Haskell,62
Hays,5736
Hemphill,73
Henderson,923
Hidalgo,30577
Hill,605
Hockley,326
Hood,882
Hopkins,322
Houston,361
Howard,619
Hudspeth,45
Hunt,1557
Hutchinson,192
Irion,10
Jack,131
Jackson,527
Jasper,459
Jeff Davis,14
Jefferson,7152
Jim Hogg,102
Jim Wells,1420
Johnson,2795
Jones,584
Karnes,754
Kaufman,3018
Kendall,202
Kenedy,7
Kent,8
Kerr,444
Kimble,16
King,0
Kinney,25
Kleberg,983
Knox,68
La Salle,360
Lamar,1046
Lamb,324
Lampasas,231
Lavaca,712
Lee,217
Leon,229
Liberty,2215
Limestone,555
Lipscomb,32
Live Oak,368
Llano,118
Loving,0
Lubbock,10237
Lynn,93
Madison,719
Marion,149
Martin,77
Mason,76
Matagorda,1022
Maverick,3535
McCulloch,139
McLennan,7428
McMullen,21
Medina,1179
Menard,26
Midland,3551
Milam,479
Mills,52
Mitchell,84
Montague,164
Montgomery,10571
Moore,1151
Morris,182
Motley,7
Nacogdoches,1513
Navarro,1224
Newton,172
Nolan,208
Nueces,19986
Ochiltree,127
Oldham,15
Orange,1905
Out of TX,0
Palo Pinto,502
Panola,367
Parker,1822
Parmer,415
Pecos,357
Polk,828
Potter,4517
Presidio,96
Rains,65
Randall,2612
Reagan,87
Real,105
Red River,158
Reeves,188
Refugio,302
Roberts,9
Robertson,292
Rockwall,1543
Runnels,244
Rusk,877
Sabine,77
San Augustine,199
San Jacinto,224
San Patricio,1415
San Saba,52
Schleicher,52
Scurry,610
Shackelford,24
Shelby,462
Sherman,60
Smith,3620
Somervell,137
Starr,3351
Stephens,129
Sterling,4
Stonewall,11
Sutton,81
Swisher,99
Tarrant,46537
Taylor,1437
Terrell,3
Terry,229
Throckmorton,7
Titus,1557
Tom Green,3549
Travis,28438
Trinity,191
Tyler,210
Unassigned,0
Upshur,375
Upton,23
Uvalde,751
Val Verde,2135
Van Zandt,568
Victoria,3996
Walker,3609
Waller,816
Ward,120
Washington,625
Webb,13128
Wharton,1317
Wheeler,46
Wichita,1613
Wilbarger,131
Willacy,1197
Williamson,8385
Wilson,572
Winkler,111
Wise,712
Wood,496
Yoakum,201
Young,266
Zapata,326
Zavala,290
Bear River,3060
Beaver,0
Box Elder,0
Cache,0
Carbon,0
Central Utah,593
Daggett,0
Davis,4649
Duchesne,0
Emery,0
Garfield,0
Grand,0
Iron,0
Juab,0
Kane,0
Millard,0
Morgan,0
Out of UT,0
Piute,0
Rich,0
Salt Lake,27842
San Juan,688
Sanpete,0
Sevier,0
Southeast Utah,173
Southwest Utah,3991
Summit,940
Tooele,806
TriCounty,227
Uintah,0
Unassigned,0
Utah,15185
Wasatch,700
Washington,0
Wayne,0
Weber,0
Weber-Morgan,3998
Addison,83
Bennington,108
Caledonia,34
Chittenden,828
Essex,6
Franklin,123
Grand Isle,14
Lamoille,53
Orange,22
Orleans,21
Out of VT,0
Rutland,128
Unassigned,8
Washington,76
Windham,123
Windsor,83
,1257
Accomack,1166
Albemarle,1175
Alexandria,3684
Alleghany,78
Amelia,123
Amherst,370
Appomattox,208
Arlington,3835
Augusta,460
Bath,6
Bedford,699
Bland,64
Botetourt,284
Bristol,175
Brunswick,344
Buchanan,125
Buckingham,676
Buena Vista,79
Campbell,400
Caroline,327
Carroll,474
Charles City,82
Charlotte,99
Charlottesville,1048
Chesapeake,4184
Chesterfield,5724
Clarke,91
Colonial Heights,242
Covington,30
Craig,28
Culpeper,1179
Cumberland,102
Danville,811
Dickenson,87
Dinwiddie,362
Emporia,246
Essex,169
Fairfax,20155
Fairfax City,134
Falls Church,68
Fauquier,901
Floyd,191
Fluvanna,358
Franklin,194
Franklin City,385
Frederick,838
Fredericksburg,525
Galax,407
Giles,83
Gloucester,226
Goochland,255
Grayson,294
Greene,209
Greensville,764
Halifax,318
Hampton,1768
Hanover,1212
Harrisonburg,2420
Henrico,5224
Henry,996
Highland,6
Hopewell,381
Isle of Wight,695
James City,824
King George,225
King William,149
King and Queen,66
Lancaster,132
Lee,258
Lexington,51
Loudoun,6633
Louisa,280
Lunenburg,110
Lynchburg,1278
Madison,102
Manassas,1877
Manassas Park,605
Martinsville,375
Mathews,35
Mecklenburg,663
Middlesex,108
Montgomery,1679
Nelson,98
New Kent,180
Newport News,2658
Norfolk,4723
Northampton,305
Northumberland,141
Norton,33
Nottoway,247
Orange,308
Out of VA,0
Page,380
Patrick,269
Petersburg,717
Pittsylvania,941
Poquoson,76
Portsmouth,2518
Powhatan,210
Prince Edward,559
Prince George,721
Prince William,12027
Pulaski,209
Radford,710
Rappahannock,65
Richmond,349
Richmond City,4468
Roanoke,774
Roanoke City,1563
Rockbridge,98
Rockingham,1352
Russell,229
Salem,259
Scott,179
Shenandoah,799
Smyth,419
Southampton,530
Spotsylvania,2076
Stafford,1934
Staunton,234
Suffolk,1889
Surry,109
Sussex,388
Tazewell,251
Unassigned,0
Virginia Beach,6620
Warren,412
Washington,533
Waynesboro,253
Westmoreland,255
Williamsburg,172
Winchester,482
Wise,388
Wythe,220
York,523
Adams,799
Asotin,83
Benton,4399
Chelan,1832
Clallam,221
Clark,2563
Columbia,14
Cowlitz,603
Douglas,1176
Ferry,29
Franklin,4176
Garfield,11
Grant,2777
Grays Harbor,419
Island,292
Jefferson,71
King,21388
Kitsap,1137
Kittitas,494
Klickitat,190
Lewis,455
Lincoln,39
Mason,367
Okanogan,1026
Out of WA,0
Pacific,80
Pend Oreille,58
Pierce,7519
San Juan,29
Skagit,1077
Skamania,60
Snohomish,6675
Spokane,6175
Stevens,146
Thurston,1023
Unassigned,292
Wahkiakum,6
Walla Walla,858
Whatcom,1252
Whitman,1128
Yakima,11260
Barbour,44
Berkeley,938
Boone,192
Braxton,10
Brooke,106
Cabell,712
Calhoun,23
Clay,34
Doddridge,18
Fayette,534
Gilmer,21
Grant,150
Greenbrier,120
Hampshire,100
Hancock,141
Hardy,80
Harrison,336
Jackson,244
Jefferson,418
Kanawha,2258
Lewis,38
Lincoln,153
Logan,565
Marion,253
Marshall,154
Mason,134
McDowell,86
Mercer,398
Mineral,163
Mingo,353
Monongalia,1867
Monroe,146
Morgan,50
Nicholas,82
Ohio,349
Out of WV,0
Pendleton,52
Pleasants,16
Pocahontas,59
Preston,149
Putnam,484
Raleigh,471
Randolph,234
Ritchie,11
Roane,47
Summers,40
Taylor,117
Tucker,16
Tyler,15
Unassigned,0
Upshur,60
Wayne,339
Webster,7
Wetzel,49
Wirt,10
Wood,347
Wyoming,96
Adams,183
Ashland,49
Barron,407
Bayfield,76
Brown,7183
Buffalo,119
Burnett,101
Calumet,819
Chippewa,456
Clark,313
Columbia,478
Crawford,135
Dane,8455
Dodge,1538
Door,220
Douglas,359
Dunn,319
Eau Claire,1476
Florence,53
Fond du Lac,1655
Forest,195
Grant,703
Green,395
Green Lake,169
Iowa,142
Iron,136
Jackson,99
Jefferson,1166
Juneau,302
Kenosha,3216
Kewaunee,350
La Crosse,2375
Lafayette,204
Langlade,120
Lincoln,127
Manitowoc,806
Marathon,976
Marinette,707
Marquette,169
Menominee,42
Milwaukee,26402
Monroe,361
Oconto,623
Oneida,312
Out of WI,0
Outagamie,3277
Ozaukee,1173
Pepin,54
Pierce,364
Polk,214
Portage,1086
Price,43
Racine,4377
Richland,85
Rock,2162
Rusk,46
Sauk,777
Sawyer,192
Shawano,470
Sheboygan,1415
St. Croix,773
Taylor,144
Trempealeau,512
Unassigned,0
Vernon,164
Vilas,157
Walworth,2374
Washburn,87
Washington,2156
Waukesha,6452
Waupaca,864
Waushara,258
Winnebago,2459
Wood,653
Albany,332
Big Horn,51
Campbell,238
Carbon,209
Converse,93
Crook,34
Fremont,658
Goshen,74
Hot Springs,37
Johnson,29
Laramie,641
Lincoln,136
Natrona,438
Niobrara,3
Out of WY,0
Park,202
Platte,19
Sheridan,234
Sublette,71
Sweetwater,322
Teton,493
Uinta,330
Unassigned,1
Washakie,113
Weston,23
